SOURCE,TARGET,TIME,TYPE,WEIGHT,SITE,lock_bool,high_bool,low_bool,ANTENNA,pre_dur,post_dur
J1507,J2409,9711418,REPLACEMENT,0,STREAM,1,0,0,NA,NA,NA
J2402,J2409,9711419,COOP_SUCCESS,6,STREAM,1,1,0,NA,NA,2
J1352,J1902,9711423,COOP_SUCCESS,2,EDDY,1,1,0,NA,NA,2
J1529,J1352,9711431,COOP_SUCCESS,33,EDDY,1,1,0,NA,3,1
J2409,J2402,9711445,COOP_SUCCESS,15,STREAM,1,1,0,NA,NA,NA
J1529,J1352,9711467,COOP_SUCCESS,3,EDDY,1,1,0,NA,2,10
J1352,J1352,9711502,SOLO_NO_COOP,18,EDDY,1,0,0,A,NA,NA
J505,J1352,9711536,COOP_FAIL,0,EDDY,1,0,0,NA,2,NA
J1352,J1602,9711539,COOP_FAIL,21,EDDY,1,0,0,NA,NA,5
J2409,J2402,9711540,COOP_SUCCESS,3,STREAM,0,1,0,NA,NA,32
J2402,J2402,9711588,SOLO_NO_COOP,15,STREAM,0,0,1,B,NA,NA
J3610,J1915,9711681,COOP_SUCCESS,1,STREAM,0,1,0,NA,2,NA
J3610,J1915,9711682,REPLACEMENT,0,STREAM,0,1,0,NA,NA,NA
J3654,J1915,9711698,REPLACEMENT,0,STREAM,0,0,1,NA,NA,NA
J1507,J1915,9711707,COOP_FAIL,58,STREAM,1,0,0,NA,2,NA
J1507,J1915,9711773,COOP_FAIL,1,STREAM,1,0,0,NA,NA,NA
J1507,J1915,9711800,COOP_FAIL,27,STREAM,1,0,0,NA,NA,NA
J1915,J1507,9711830,COOP_FAIL,32,STREAM,1,0,0,NA,NA,NA
J1915,J1507,9711863,COOP_FAIL,53,STREAM,1,0,0,NA,NA,1
J1507,J1915,9711936,COOP_FAIL,6,STREAM,1,0,0,NA,11,NA
J2197,J2197,9711945,SOLO_NO_COOP,10,EDDY,0,0,1,B,NA,NA
J1507,J1915,9711952,COOP_FAIL,34,STREAM,1,0,0,NA,NA,NA
J3518,J2197,9712020,COOP_SUCCESS,118,EDDY,0,1,0,NA,21,NA
J1915,J1507,9712044,COOP_FAIL,23,STREAM,1,0,0,NA,NA,6
J1507,J1507,9712074,SOLO_NO_COOP,21,STREAM,1,0,0,B,NA,NA
J3580,J3580,9712126,SOLO_NO_COOP,11,STREAM,1,0,0,A,NA,NA
J3518,J2197,9712140,COOP_SUCCESS,13,EDDY,0,1,0,NA,NA,6
J3610,J3610,9712140,SOLO_NO_COOP,74,STREAM,1,0,0,B,NA,NA
J2197,J2197,9712160,SOLO_NO_COOP,9,EDDY,0,0,1,A,NA,NA
J2197,J2197,9712200,SOLO_NO_COOP,52,EDDY,0,0,1,A,NA,NA
J2197,J2197,9712263,SOLO_NO_COOP,17,EDDY,0,0,1,A,NA,NA
J2197,J793,9712293,COOP_SUCCESS,5,EDDY,0,1,0,NA,12,4
J793,J793,9712309,SOLO_NO_COOP,15,EDDY,0,0,1,A,NA,NA
J2759,J2759,9712356,SOLO_NO_COOP,29,STREAM,0,0,1,A,NA,NA
J2759,J2759,9712387,SOLO_NO_COOP,5,STREAM,0,0,1,A,NA,NA
J3106,J3106,9712392,SOLO_NO_COOP,61,STREAM,0,0,1,B,NA,NA
J2961,J1529,9712473,COOP_SUCCESS,1,STREAM,0,1,0,NA,2,NA
J3106,J1529,9712476,COOP_SUCCESS,1,STREAM,0,1,0,NA,NA,1
J1529,J1529,9712481,SOLO_NO_COOP,16,STREAM,0,1,0,A,NA,NA
J1529,J2961,9712505,COOP_SUCCESS,1,STREAM,0,1,0,NA,NA,3
J1529,J2961,9712521,COOP_SUCCESS,1,STREAM,0,1,0,NA,2,1
J2961,J1529,9712522,REPLACEMENT,0,STREAM,0,1,0,NA,NA,NA
J1529,J1529,9712522,SOLO_NO_COOP,21,STREAM,0,1,0,B,NA,NA
J1529,J3567,9712527,COOP_FAIL,1,STREAM,1,1,0,NA,3,NA
J3567,J1529,9712529,COOP_FAIL,0,STREAM,1,1,0,NA,NA,1
J3567,J2961,9712529,REPLACEMENT,0,STREAM,1,1,0,NA,NA,NA
J1529,J2961,9712530,COOP_SUCCESS,0,STREAM,1,1,0,NA,NA,1
J2961,J1529,9712531,REPLACEMENT,0,STREAM,1,1,0,NA,NA,NA
J3106,J1529,9712550,COOP_SUCCESS,12,STREAM,1,1,0,NA,6,11
J1529,J3106,9712598,COOP_SUCCESS,5,STREAM,1,1,0,NA,1,17
J3106,J2961,9712603,REPLACEMENT,0,STREAM,1,1,0,NA,NA,NA
J1529,J2961,9712604,COOP_SUCCESS,10,STREAM,1,1,0,NA,NA,6
J1529,J1529,9712625,SOLO_NO_COOP,19,STREAM,1,0,0,B,NA,NA
J3295,J1529,9712649,COOP_SUCCESS,11,STREAM,1,1,0,NA,5,2
J1529,J3106,9712674,COOP_SUCCESS,3,STREAM,0,1,0,NA,8,NA
J2961,J2961,9712677,SCROUNGE,3,STREAM,0,1,0,B,NA,NA
J1529,J1529,9712680,SOLO_NO_COOP,216,STREAM,0,1,0,A,NA,NA
J1529,J3106,9712690,COOP_SUCCESS,4,STREAM,0,1,0,NA,3,NA
J1529,J3106,9712708,COOP_SUCCESS,7,STREAM,0,1,0,NA,NA,9
J1529,J3106,9712755,COOP_SUCCESS,28,STREAM,0,1,0,NA,8,16
J2198,J2198,9712792,SOLO_NO_COOP,26,EDDY,0,0,1,A,NA,NA
J2198,J972,9712818,REPLACEMENT,0,EDDY,0,0,1,NA,NA,NA
J3106,J1529,9712833,COOP_SUCCESS,1,STREAM,0,1,0,NA,22,NA
J1317,J972,9712848,COOP_FAIL,15,EDDY,1,0,0,NA,3,NA
J3106,J1529,9712853,COOP_SUCCESS,21,STREAM,0,1,0,NA,NA,5
J1317,J972,9712864,COOP_FAIL,24,EDDY,1,0,0,NA,NA,48
J1915,J1507,9712905,COOP_FAIL,31,STREAM,1,0,0,NA,2,NA
J1507,J1915,9712940,COOP_FAIL,38,STREAM,1,0,0,NA,NA,NA
J2196,J2196,9712976,SOLO_NO_COOP,15,EDDY,1,0,0,A,NA,NA
J1507,J1915,9712995,COOP_FAIL,137,STREAM,1,0,0,NA,NA,NA
J2198,J2198,9713016,SOLO_NO_COOP,25,EDDY,0,0,1,A,NA,NA
J2198,J2198,9713049,SOLO_NO_COOP,26,EDDY,0,0,1,A,NA,NA
J2198,J2198,9713091,SOLO_NO_COOP,20,EDDY,0,0,1,A,NA,NA
J2198,J2198,9713120,SOLO_NO_COOP,18,EDDY,0,0,1,A,NA,NA
J1507,J1915,9713140,COOP_FAIL,64,STREAM,1,0,0,NA,NA,NA
J1507,J1915,9713206,COOP_FAIL,7,STREAM,1,0,0,NA,NA,NA
J3569,J3569,9713384,SOLO_NO_COOP,110,EDDY,0,0,1,A,NA,NA
J1317,J1317,9713987,SOLO_NO_COOP,32,EDDY,0,0,1,B,NA,NA
J1317,J1317,9714107,SOLO_NO_COOP,13,EDDY,0,0,1,B,NA,NA
J1317,J972,9714112,REPLACEMENT,0,EDDY,0,0,1,NA,NA,NA
J1317,J972,9714128,COOP_FAIL,41,EDDY,1,0,0,NA,2,NA
J1317,J972,9714173,COOP_FAIL,16,EDDY,1,0,0,NA,NA,NA
J3610,J3610,9785766,SOLO_NO_COOP,25,EDDY,0,0,1,A,NA,NA
J3106,J3610,9786099,COOP_FAIL,9,EDDY,1,0,0,NA,63,NA
J3610,J3106,9786133,COOP_FAIL,12,EDDY,1,0,0,NA,NA,NA
J3106,J3569,9786147,COOP_FAIL,19,EDDY,1,0,0,NA,NA,NA
J3106,J3569,9786167,COOP_FAIL,1,EDDY,1,0,0,NA,NA,NA
J3580,J3580,9786173,SOLO_NO_COOP,55,EDDY,1,0,0,A,NA,NA
J3069,J972,9786294,COOP_FAIL,2,EDDY,1,0,0,NA,2,1
J972,J972,9786306,SOLO_NO_COOP,23,EDDY,1,0,0,A,NA,NA
J3069,J972,9786337,COOP_FAIL,1,EDDY,1,0,0,NA,7,9
J972,J972,9786394,SOLO_NO_COOP,45,EDDY,1,0,0,A,NA,NA
J972,J972,9786455,SOLO_NO_COOP,21,EDDY,1,0,0,A,NA,NA
J3585,J3585,9786471,SOLO_NO_COOP,20,STREAM,0,0,1,A,NA,NA
J2668,J2668,9786501,SOLO_NO_COOP,14,EDDY,0,0,1,B,NA,NA
J3585,J3585,9786506,SOLO_NO_COOP,48,STREAM,0,0,1,A,NA,NA
J2668,J972,9786551,REPLACEMENT,0,EDDY,0,0,1,NA,NA,NA
J972,J2668,9786557,COOP_FAIL,14,EDDY,1,0,0,NA,6,NA
J3585,J3585,9786560,SOLO_NO_COOP,17,STREAM,0,0,1,A,NA,NA
J3585,J3585,9786594,SOLO_NO_COOP,106,STREAM,0,0,1,A,NA,NA
